Date,Open,High,Low,Close,Volume
2010-01-04 05:00:00+00:00,130.32770195568546,133.54661369142175,129.9138350257644,132.64991760253906,9135000
2010-01-05 05:00:00+00:00,132.58864127213982,135.08712822136536,132.25909130312937,134.9951629638672,11659400
2010-01-06 05:00:00+00:00,134.41267592089045,134.41267592089045,133.1710866656038,133.55429077148438,7381100
2010-01-07 05:00:00+00:00,133.60033936747388,136.99552351164968,133.31676026167443,136.1678009033203,8727400
2010-01-08 05:00:00+00:00,135.14067618304452,135.9837176678052,133.3166220468097,133.592529296875,7268100
2010-01-11 05:00:00+00:00,134.1673828385766,134.1673828385766,130.68789565818136,131.48495483398438,7704900
2010-01-12 05:00:00+00:00,130.29695311012415,130.65716562111976,128.01306171476318,128.6185302734375,10360100
2010-01-13 05:00:00+00:00,128.76425751445035,130.03649813114822,127.31574625876463,129.57666015625,11269500
2010-01-14 05:00:00+00:00,128.75658532689917,130.8412166915583,128.15112795812752,129.16278076171875,10521400
2010-01-15 05:00:00+00:00,128.45003970529874,128.6033190311168,126.13548329371851,126.61832427978516,10896300
2010-01-19 05:00:00+00:00,126.46502876794378,128.29674412840174,125.61431509123535,127.88288879394531,7705300
2010-01-20 05:00:00+00:00,127.07054230761914,128.89458673852758,125.93626090683628,128.59568786621094,8893900
2010-01-21 05:00:00+00:00,129.7452474278577,131.05581068022312,120.149824562979,123.2920913696289,51738300
2010-01-22 05:00:00+00:00,121.62132675620765,122.43371762804038,116.685655767569,118.11883544921875,30175600
2010-01-25 05:00:00+00:00,119.65931528411647,121.32241966471697,118.41006618344869,118.77793884277344,17877000
2010-01-26 05:00:00+00:00,118.72428981530068,119.94287597218143,115.49770634486347,115.63566589355469,15985900
2010-01-27 05:00:00+00:00,115.5360261142844,117.20679023181681,113.63533721783155,116.11083221435547,19899000
2010-01-28 05:00:00+00:00,118.20309901448977,118.94651568771265,114.92287380859105,117.48267364501953,16160700
2010-01-29 05:00:00+00:00,118.36409614728285,118.70131766020926,113.28280552956284,113.98023986816406,18502800
2010-02-01 05:00:00+00:00,114.8232604824413,118.9848506102519,114.35575110083201,117.36006927490234,12980800
2010-02-02 05:00:00+00:00,117.7586533941853,120.70933059769261,117.7586533941853,120.28014373779297,17246600
2010-02-03 05:00:00+00:00,121.03121932408429,122.57936764583297,120.4104303594007,120.50239562988281,16785200
2010-02-04 05:00:00+00:00,119.00017486039026,119.60563204208374,115.30608264278526,115.48235321044922,18895000
2010-02-05 05:00:00+00:00,115.58967485910148,118.37939986575998,114.09516971365699,118.14947509765625,18759200
2010-02-08 05:00:00+00:00,118.23378014218596,118.48669621698251,115.589674552163,115.80426788330078,10257300
2010-02-09 05:00:00+00:00,117.03052993255993,117.66665014260977,114.69298258104212,116.86959075927734,14017300
2010-02-10 05:00:00+00:00,117.08415949214404,119.06149363778223,116.3100798876416,117.74327087402344,10555300
2010-02-11 05:00:00+00:00,118.3334137534658,119.03851954301543,116.68564090775779,118.06517791748047,11163400
